Number_equivalent_letter_grade,rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Number_equivalent_Principal_Program_Detail_Code,Stmt_date,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
2,201,20030108,1245,89,114,14,20101231,1.41,0.83,2580090.00,"93,624",1775.00,1768225.00,0.00,1094200.00,1915199.00,600392.00,0.00,259495.00,0.00,259495.00,0.00,0.00,0.00,0.00,0.00,0.00,2,9,4,0.00,259495.00,302,300,0,0,2,300,2,0,0,36,0,1.22,0,235,67,0,0,0,0
1,204,20040429,28,148,123,14,20051231,1.16,5.95,228014.00,"17,902",6294.00,175840.00,0.00,142665.00,40642.00,16670.00,0.00,4983.00,2395.00,2588.00,0.00,0.00,0.00,0.00,0.00,0.00,1,3,1,0.00,4983.00,44,44,0,0,0,44,0,0,0,2,0,1.07,0,41,3,0,0,0,0
1,205,20030822,887,147,154,14,20101231,1.39,1.74,4874392.00,"866,010",4013.00,2882894.00,0.00,2277781.00,2225548.00,915226.00,0.00,164915.00,0.00,164915.00,10021.00,0.00,0.00,0.00,0.00,0.00,2,8,4,0.00,174936.00,231,229,0,0,2,229,2,0,0,0,0,1.16,0,193,38,0,0,0,0
1,210,20070627,705,134,130,14,20080630,3.93,2.22,908925.00,"162,655",18849.00,185313.00,0.00,169810.00,91714.00,15198.00,0.00,32187.00,32187.00,0.00,0.00,0.00,0.00,25750.00,25750.00,0.00,1,0,1,0.00,32187.00,50,50,0,0,0,50,0,0,0,5,0,1,0,50,0,0,0,0,0
3,690,19730523,753,229,15,10,20041231,0.97,1.12,1046540.00,"163,950",8075.00,898263.00,0.00,463317.00,735122.00,323211.00,0.00,236640.00,4218.00,232422.00,0.00,0.00,0.00,231640.00,231640.00,0.00,20,2,0,889715.00,236640.00,300,75,200,25,0,0,300,0,0,0,0,1.41,0,176,124,0,0,0,0
1,690,19730523,753,229,15,10,20051231,1.21,1.04,1223484.00,"130,725",5648.00,898263.00,0.00,446009.00,781489.00,350608.00,0.00,236640.00,4218.00,232422.00,0.00,0.00,0.00,231640.00,231640.00,0.00,20,2,0,889715.00,236640.00,300,75,200,25,0,0,300,0,0,0,0,1.41,0,176,124,0,0,0,0
4,690,19730523,753,229,15,10,20061231,0.99,0.97,1181916.00,"284,554",10479.00,898264.00,0.00,432162.00,823836.00,380336.00,0.00,236640.00,4218.00,232422.00,0.00,0.00,0.00,231640.00,231640.00,0.00,20,2,0,889715.00,236640.00,300,75,200,25,0,0,300,0,0,0,0,1.41,0,176,124,0,0,0,0
1,707,19711209,449,277,110,21,20001231,1.17,1.11,2179787.00,"203,086",41804.00,1652004.00,0.00,633131.00,1022123.00,449752.00,0.00,380643.00,0.00,380643.00,8000.00,0.00,0.00,276758.00,272158.00,4600.00,2,21,5,294768.00,388643.00,448,448,0,0,0,114,334,0,0,3,0,1.56,0,228,188,32,0,0,0
1,707,19711209,449,277,110,21,20011231,1.19,1.31,2268315.00,"277,141",18166.00,1652006.00,0.00,926969.00,1191065.00,481422.00,0.00,380643.00,0.00,380643.00,8000.00,0.00,0.00,276758.00,272158.00,4600.00,2,21,5,294768.00,388643.00,448,448,0,0,0,114,334,0,0,3,0,1.56,0,228,188,32,0,0,0
1,720,19720208,988,223,82,17,20091231,1.9,4.74,787449.00,"143,860",1951.00,336899.00,0.00,569177.00,276449.00,156412.00,0.00,162537.00,17824.00,144713.00,0.00,30503.00,0.00,132505.00,132505.00,0.00,12,4,1,84240.00,193040.00,149,149,0,0,0,0,149,0,0,0,0,1.79,6,53,71,8,9,1,1
