Number_equivalent_letter_grade,rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Number_equivalent_Principal_Program_Detail_Code,Stmt_date,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
3,449,20030627,482,258,13,4,20101231,0.88,1.22,1618427,56616,329,1784325,0,435915,715344,356716,0,188583,0,188583,0,0,0,0,0,0,13,3,0,0,188583,156,39,0,117,0,0,156,0,0,0,0,1.56,0,69,87,0,0,0,0
1,806,19760721,536,143,152,14,20101231,1.04,1.89,768809,0,1743,737955,0,507211,790741,521755,0,108416,0,108416,0,0,0,89500,89500,0,1,11,0,0,108416,130,129,0,1,0,129,1,0,0,7,0,1.15,0,110,20,0,0,0,0
1,696,19720713,812,92,36,16,20101231,1.73,1.65,998435,38240,180,555105,0,695952,710609,289448,0,173040,3000,170040,8000,0,0,144584,136584,8000,1,22,2,49940,181040,213,3,157,53,0,0,213,0,0,2,0,1.3,22,106,85,0,0,0,0
1,28,20070726,967,93,140,14,20101231,1.82,3.6,929806,69492,2630,472516,0,1412117,453630,61339,0,116167,32840,83327,0,0,4768,79775,79775,0,1,11,2,46895,120935,125,125,0,0,0,125,0,0,0,24,0,1.26,0,99,20,6,0,0,0
1,915,19810206,1161,85,44,15,20101231,1.1,4.71,411577,28216,502,348766,0,414987,272267,184228,0,0,0,0,0,0,0,30757,30757,0,2,4,0,42299,55410,40,40,0,0,0,40,0,0,0,4,0,1.13,0,35,5,0,0,0,0
1,936,19821008,834,451,117,15,20101231,1.07,1.54,784631,0,1818,729679,0,602020,903043,511940,0,77658,4370,73288,3982,0,0,47324,43446,3878,1,8,2,12760,81640,135,85,0,50,0,135,0,0,0,7,0,0.07,126,9,0,0,0,0,0
1,709,19730208,665,87,49,17,20101231,1.34,1.52,920917,14408,1110,675465,0,736204,712597,229728,0,104003,694,103309,25968,0,0,93475,71390,22085,1,13,3,22621,129971,80,20,10,50,0,0,80,0,0,0,0,1.75,0,20,60,0,0,0,0
1,1153,19980819,143,122,50,14,20101231,2.12,4.25,820118,99477,1214,339725,0,534852,254689,96051,32892,20000,20000,0,0,0,0,0,0,0,8,0,0,0,20000,157,156,0,1,0,117,40,0,0,14,0,1.61,0,83,52,22,0,0,0
1,681,19740731,587,148,155,16,20101231,1.12,2.3,304028,75128,69,204410,0,247276,222244,114633,0,88890,0,88890,0,0,0,83880,83880,0,11,2,0,452153,88890,96,24,72,0,0,0,96,0,0,3,0,1.73,0,36,50,10,0,0,0
2,698,19730803,321,270,30,17,20101231,1.09,0.83,796009,153945,1842,585821,0,322802,705194,316650,0,194703,25013,169690,12000,0,0,186643,174643,12000,9,7,2,335333,206703,201,75,126,0,0,89,112,0,0,16,0,1.86,0,89,72,20,20,0,0
1,1072,19940714,240,176,17,4,20101231,2.2,1.48,92343,11772,558,36382,0,103393,92983,14662,8400,31792,3920,27872,0,0,0,29544,29544,0,1,3,0,37912,31792,38,19,0,19,0,0,38,0,0,0,0,1.87,0,10,23,5,0,0,0
3,1164,19991231,62,229,15,13,20101231,0.91,0.46,363521,27657,326,366775,0,182288,595386,195633,0,113436,0,113436,0,0,0,0,0,0,6,3,0,0,113436,120,75,45,0,0,0,120,0,0,2,0,2.3,0,24,48,36,12,0,0
2,535,20060630,1214,160,18,14,20101231,0.9,3.89,270149,0,932,300460,0,603384,185438,30182,0,44375,0,44375,0,0,0,0,0,0,1,5,2,0,44375,71,70,0,0,1,70,0,0,1,8,0,1,0,71,0,0,0,0,0
1,542,20040826,1009,149,46,18,20101231,50.02,5.14,255024,27486,52,0,4548,657056,211654,1,83782,10000,10000,0,0,0,0,0,0,0,0,0,0,0,10000,49,19,11,19,0,0,49,0,0,0,0,2.06,0,19,15,8,7,0,0
1,541,20040826,1029,149,46,18,20101231,46.05,4.06,245689,32626,143,0,4624,561055,182179,1,43849,10000,10000,0,0,0,0,0,0,0,0,0,0,0,10000,52,40,5,7,0,0,52,0,0,0,0,2.44,0,10,21,9,12,0,0
2,993,19850614,1066,254,56,18,20101231,1.05,0.51,170990,42237,1537,121611,0,254907,554748,56115,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,77,45,32,0,0,0,77,0,0,6,0,1.87,0,31,29,13,4,0,0
3,988,19850403,962,319,90,18,20101231,0,6.5,319722,91230,2476,0,0,375933,121591,63797,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,74,39,0,35,0,0,74,0,0,0,0,2.03,0,32,19,12,11,0,0
4,992,19850430,810,175,7,18,20101231,0,0,66913,7071,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,20,10,0,10,0,0,20,0,0,0,0,2.5,0,0,10,10,0,0,0
3,989,19850819,823,319,55,18,20101231,0,4.04,95601,16143,124,0,0,349640,86470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,0,0,0,0,1.5,1,8,11,0,0,0,0
1,34,20030313,1174,89,114,14,20101231,1.4,1.73,666384,121108,2012,388166,0,387088,297734,73748,0,115174,0,115174,0,0,0,0,0,0,1,8,2,0,115174,134,133,0,0,1,134,0,0,0,13,0,1.12,0,118,16,0,0,0,0
1,505,20050316,757,122,2,15,20101231,1.17,4.96,652818,36992,1742,524817,0,942639,249759,59535,0,101926,20157,81769,6970,0,918,78362,71392,6970,2,7,3,37546,109814,106,104,0,0,2,106,0,0,0,13,0,1.18,0,87,19,0,0,0,0
1,762,19770303,837,36,109,14,20101231,1.11,2.26,1300448,128698,429,1055510,0,907612,1111974,709550,0,131056,28997,102059,0,0,7028,91620,91620,0,1,11,2,27711,138084,145,145,0,0,0,145,0,0,0,15,0,1.14,0,124,21,0,0,0,0
1,671,19711111,1188,231,40,17,20101231,1.21,2.11,111728,10725,278,83529,0,51967,63180,38591,0,190000,0,190000,0,0,0,10800,10800,0,1,4,0,6000,190000,22,22,0,0,0,0,22,0,0,0,0,1.27,0,16,6,0,0,0,0
1,499,20041015,1019,122,50,13,20101231,1.12,4.41,2968460,96157,5890,2560095,0,2146702,1067470,580138,0,382557,0,382557,0,0,0,134990,134990,0,10,4,0,0,382557,285,285,0,0,0,0,285,0,0,0,0,2.15,6,90,96,50,33,10,0
1,498,20040414,450,149,156,21,20101231,1.01,1.38,1181853,50778,1187,1116165,0,278684,330593,128460,0,278546,84386,194160,0,7282,0,169720,169720,0,1,6,2,104412,285828,154,32,0,122,0,0,154,0,0,0,0,1.6,0,66,84,4,0,0,0
1,874,19800428,116,122,50,14,20101231,1.13,4.69,2090211,135242,4145,1726227,0,1117105,1269253,1030940,0,238209,6074,232135,0,0,0,166226,166226,0,1,7,3,157143,238209,261,261,0,0,0,260,1,0,0,21,0,1.12,0,229,32,0,0,0,0
1,309,20060404,521,149,156,13,20101231,1.48,8.74,2001033,121088,6141,1269263,0,2547817,470785,179395,0,217353,28265,189088,0,0,11776,182409,182409,0,15,3,0,446651,229129,226,190,0,36,0,0,226,0,0,12,0,2.06,0,59,95,72,0,0,0
1,728,19721206,707,122,50,16,20101231,1.03,1.02,2816357,98096,601,2644329,0,807370,1445443,652119,0,443457,90403,353054,0,0,3492,366480,366480,0,28,3,0,1089000,446949,324,81,127,116,0,0,324,0,0,7,0,1.77,0,120,159,45,0,0,0
1,703,19720509,787,36,109,7,20101231,1.25,4.46,492153,147708,941,275452,0,1100058,464115,217716,0,143686,4933,138753,0,0,864,132180,132180,0,5,3,0,832867,144550,132,97,35,0,0,0,132,0,0,0,0,2.09,0,24,72,36,0,0,0
1,686,19711001,73,319,65,11,20101231,1.16,1.17,312105,68449,799,209654,0,232712,305263,105689,0,105134,5772,99362,0,0,0,97552,97552,0,12,3,0,489375,105134,100,58,42,0,0,0,100,0,0,0,0,2.48,0,36,12,25,22,5,0
1,888,19831101,713,36,109,14,20101231,1.03,4.79,885556,35113,2916,826323,0,780984,373449,210434,0,107304,2300,105004,0,0,0,85208,85208,0,3,3,0,241888,107304,104,103,0,0,1,103,1,0,0,11,0,1.17,0,86,18,0,0,0,0
3,637,19720316,795,512,81,4,20101231,0.98,0.72,394656,23935,261,379622,0,143076,422486,223671,0,59258,13476,45782,0,0,3696,44931,44930,1,1,7,2,76452,62954,62,12,0,50,0,37,25,0,0,0,0,1.35,2,40,16,4,0,0,0
1,664,19711028,574,36,109,7,20101231,1.7,4.55,1123298,180272,1031,555129,0,667547,332213,185345,0,163912,14127,149785,0,0,1893,89367,89367,0,6,3,0,144347,165805,154,73,32,49,0,0,154,0,0,0,0,1.56,15,44,88,7,0,0,0
1,1065,19920515,1155,149,156,22,20101231,1.55,1.56,585801,96069,1171,314809,0,303277,398633,204528,0,124918,21093,103825,0,0,14400,82732,82732,0,1,6,2,103825,139318,92,92,0,0,0,0,92,0,0,5,0,1.86,0,13,79,0,0,0,0
